Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,0603,120.5611,-102.4636,0.0,top
C10,0.1uF,0603,133.8081,-87.7316,45.0,top
C11,4.7uF,0603,143.9681,-117.9576,-45.0,top
C12,4.7uF,0603,130.8871,-103.6066,45.0,top
C13,1.0uF,0603,124.2831,-126.9746,135.0,top
C14,0.1uF,0603,118.0601,-113.8428,180.0,top
C15,0.1uF,0603,133.8081,-128.1176,-135.0,top
C16,0.1uF,0603,142.6981,-119.2276,-45.0,top
C17,0.1uF,0603,132.1571,-104.8766,45.0,top
C18,10nF,0603,125.5531,-125.7046,135.0,top
C19,10nF,0603,160.0581,-97.7646,-45.0,top
C2,1.0uF,0603,119.2911,-107.5436,0.0,top
C20,10nF,0603,143.6751,-107.823,135.0,top
C21,10nF,0603,149.3901,-117.1956,-135.0,top
C22,10nF,0603,153.7843,-120.2182,45.0,top
C23,10nF,0603,160.5661,-117.7036,0.0,top
C24,10nF,0603,166.2049,-111.0234,0.0,top
C25,10nF,0603,166.1541,-108.1786,-45.0,top
C26,0.1uF,0603,170.5111,-108.4326,-90.0,top
C27,0.1uF,0603,139.0151,-91.0336,180.0,top
C28,0.1uF,0603,124.8673,-100.076,180.0,top
C29,0.1uF,0603,136.6021,-98.0186,-90.0,top
C3,0.1uF,0603,161.5821,-96.2406,-45.0,top
C30,10nF,0603,115.7351,-108.1786,-90.0,top
C4,0.1uF,0603,125.8951,-82.6516,90.0,top
C5,10nF,0603,150.9141,-97.0026,90.0,top
C6,10nF,0603,142.7607,-104.14,135.0,top
C7,10nF,0603,155.3981,-96.7486,-135.0,top
C8,1.0uF,0603,120.6001,-104.8766,0.0,top
C9,0.1uF,0603,126.9501,-89.1286,0.0,top
D1,3A/10V/280mV,SOD-323,118.0211,-99.9236,0.0,top
D2,3A/10V/280mV,SOD-323,138.3411,-129.1336,0.0,top
D3,GREEN,LED-0603,177.2539,-91.567,180.0,top
D4,RED,LED-0603,121.8311,-97.3836,90.0,top
IC1,LCMXO2-640HC-4TG100C,QFP50P1600X1600X160-100N,154.8511,-107.9246,135.0,top
IC2,CY62128EV30LL-45AXI,TSOP-32,170.8531,-99.2886,90.0,top
IC3,SST39LF020-55-4C-WHE,TSOP32_WH_SST,148.5011,-91.0336,0.0,top
IC4,STM32F072V8T6,QFP50P1600X1600X160-100N,130.7211,-116.4336,45.0,top
IC5,74ALVC164245PAG8,SOP50P810X120-48N,129.4511,-94.8436,-90.0,top
IC6,SPX3819M5_3_3,SOT23-5,116.6241,-104.1146,180.0,top
J1,1981568-1,CONN5_1981568-1_TEC,117.1194,-93.569,-90.0,top
R1,100k,0603,116.7511,-87.2236,180.0,top
R2,22k,0603,116.2821,-120.4976,-90.0,top
R3,100k,0603,119.9651,-128.7526,90.0,top
R4,4.7k,0603,180.2511,-117.7036,-90.0,top
R5,330,0603,178.8287,-87.1728,90.0,top
R6,100,0603,120.6119,-121.7676,0.0,top
S1,RESET,TACTILE_SWITCH_SMD_6.2MM_TALL,120.4341,-82.6516,0.0,top
